ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2,TEDTALK805,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK805,PGN.TXT,0.00571,0.00192,0.00288,1
ROUGE-L,TEDTALK806,PGN.TXT,0.10526,0.08889,0.09639,1
ROUGE-1,TEDTALK806,PGN.TXT,0.23913,0.10577,0.14667,1
ROUGE-2,TEDTALK806,PGN.TXT,0.02222,0.01000,0.01379,1
ROUGE-SU4,TEDTALK806,PGN.TXT,0.06364,0.02917,0.04000,1
ROUGE-L,TEDTALK832,PGN.TXT,0.11364,0.09434,0.10309,1
ROUGE-1,TEDTALK832,PGN.TXT,0.18367,0.06716,0.09836,1
ROUGE-2,TEDTALK832,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK832,PGN.TXT,0.05333,0.01905,0.02807,1
ROUGE-L,TEDTALK833,PGN.TXT,0.08696,0.11111,0.09756,1
ROUGE-1,TEDTALK833,PGN.TXT,0.17857,0.11905,0.14286,1
ROUGE-2,TEDTALK833,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK833,PGN.TXT,0.04400,0.02821,0.03438,1
ROUGE-L,TEDTALK834,PGN.TXT,0.04762,0.10526,0.06557,1
ROUGE-1,TEDTALK834,PGN.TXT,0.12500,0.04412,0.06522,1
ROUGE-2,TEDTALK834,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK834,PGN.TXT,0.03636,0.01311,0.01928,1
ROUGE-L,TEDTALK835,PGN.TXT,0.04000,0.25000,0.06897,1
ROUGE-1,TEDTALK835,PGN.TXT,0.06250,0.07407,0.06780,1
ROUGE-2,TEDTALK835,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK835,PGN.TXT,0.01379,0.01818,0.01569,1
ROUGE-L,TEDTALK836,PGN.TXT,0.11628,0.09804,0.10638,1
ROUGE-1,TEDTALK836,PGN.TXT,0.12727,0.05833,0.08000,1
ROUGE-2,TEDTALK836,PGN.TXT,0.01923,0.00855,0.01183,1
ROUGE-SU4,TEDTALK836,PGN.TXT,0.04490,0.01930,0.02699,1
ROUGE-L,TEDTALK837,PGN.TXT,0.05797,0.25000,0.09412,1
ROUGE-1,TEDTALK837,PGN.TXT,0.05618,0.07353,0.06369,1
ROUGE-2,TEDTALK837,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK837,PGN.TXT,0.01279,0.01724,0.01468,1
ROUGE-L,TEDTALK838,PGN.TXT,0.16129,0.14706,0.15385,1
ROUGE-1,TEDTALK838,PGN.TXT,0.25714,0.06818,0.10778,1
ROUGE-2,TEDTALK838,PGN.TXT,0.06061,0.01600,0.02532,1
ROUGE-SU4,TEDTALK838,PGN.TXT,0.07097,0.01864,0.02953,1
ROUGE-L,TEDTALK839,PGN.TXT,0.11111,0.11628,0.11364,1
ROUGE-1,TEDTALK839,PGN.TXT,0.15152,0.10417,0.12346,1
ROUGE-2,TEDTALK839,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK839,PGN.TXT,0.03667,0.02558,0.03014,1
ROUGE-L,TEDTALK830,PGN.TXT,0.13333,0.09524,0.11111,1
ROUGE-1,TEDTALK830,PGN.TXT,0.18750,0.04286,0.06977,1
ROUGE-2,TEDTALK830,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK830,PGN.TXT,0.04286,0.00923,0.01519,1
ROUGE-L,TEDTALK831,PGN.TXT,0.10811,0.10000,0.10390,1
ROUGE-1,TEDTALK831,PGN.TXT,0.19565,0.09574,0.12857,1
ROUGE-2,TEDTALK831,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK831,PGN.TXT,0.04286,0.02143,0.02857,1
ROUGE-L,TEDTALK829,PGN.TXT,0.02941,0.07692,0.04255,1
ROUGE-1,TEDTALK829,PGN.TXT,0.02632,0.00962,0.01408,1
ROUGE-2,TEDTALK829,PGN.TXT,0.00000,0.00000,0.00000,1
