ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-SU4,TEDTALK1989,TEXTRANK.TXT,0.05376,0.05682,0.05525,1
ROUGE-L,TEDTALK1505,TEXTRANK.TXT,0.16216,0.07692,0.10435,1
ROUGE-1,TEDTALK1505,TEXTRANK.TXT,0.19048,0.07619,0.10884,1
ROUGE-2,TEDTALK1505,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1505,TEXTRANK.TXT,0.04211,0.01616,0.02336,1
ROUGE-L,TEDTALK1508,TEXTRANK.TXT,0.20000,0.12195,0.15152,1
ROUGE-1,TEDTALK1508,TEXTRANK.TXT,0.25000,0.14151,0.18072,1
ROUGE-2,TEDTALK1508,TEXTRANK.TXT,0.01786,0.00962,0.01250,1
ROUGE-SU4,TEDTALK1508,TEXTRANK.TXT,0.06538,0.03333,0.04416,1
ROUGE-L,TEDTALK1507,TEXTRANK.TXT,0.12281,0.09091,0.10448,1
ROUGE-1,TEDTALK1507,TEXTRANK.TXT,0.20588,0.15556,0.17722,1
ROUGE-2,TEDTALK1507,TEXTRANK.TXT,0.01538,0.01124,0.01299,1
ROUGE-SU4,TEDTALK1507,TEXTRANK.TXT,0.05161,0.03636,0.04267,1
ROUGE-L,TEDTALK1509,TEXTRANK.TXT,0.07843,0.07407,0.07619,1
ROUGE-1,TEDTALK1509,TEXTRANK.TXT,0.20000,0.16667,0.18182,1
ROUGE-2,TEDTALK1509,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1509,TEXTRANK.TXT,0.04815,0.03714,0.04194,1
ROUGE-L,TEDTALK1991,TEXTRANK.TXT,0.10000,0.09091,0.09524,1
ROUGE-1,TEDTALK1991,TEXTRANK.TXT,0.23077,0.19091,0.20896,1
ROUGE-2,TEDTALK1991,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1991,TEXTRANK.TXT,0.06588,0.05283,0.05864,1
ROUGE-L,TEDTALK1990,TEXTRANK.TXT,0.12857,0.12000,0.12414,1
ROUGE-1,TEDTALK1990,TEXTRANK.TXT,0.21591,0.18095,0.19689,1
ROUGE-2,TEDTALK1990,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1990,TEXTRANK.TXT,0.06923,0.05347,0.06034,1
ROUGE-L,TEDTALK1971,TEXTRANK.TXT,0.24000,0.16438,0.19512,1
ROUGE-1,TEDTALK1971,TEXTRANK.TXT,0.27692,0.13846,0.18462,1
ROUGE-2,TEDTALK1971,TEXTRANK.TXT,0.01639,0.00787,0.01064,1
ROUGE-SU4,TEDTALK1971,TEXTRANK.TXT,0.09091,0.04194,0.05740,1
ROUGE-L,TEDTALK1970,TEXTRANK.TXT,0.12500,0.16923,0.14379,1
ROUGE-1,TEDTALK1970,TEXTRANK.TXT,0.14783,0.17708,0.16114,1
ROUGE-2,TEDTALK1970,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1970,TEXTRANK.TXT,0.04078,0.04468,0.04264,1
ROUGE-L,TEDTALK1973,TEXTRANK.TXT,0.23333,0.11475,0.15385,1
ROUGE-1,TEDTALK1973,TEXTRANK.TXT,0.29032,0.09474,0.14286,1
ROUGE-2,TEDTALK1973,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1973,TEXTRANK.TXT,0.10370,0.03218,0.04912,1
ROUGE-L,TEDTALK1972,TEXTRANK.TXT,0.19643,0.16176,0.17742,1
ROUGE-1,TEDTALK1972,TEXTRANK.TXT,0.25000,0.18280,0.21118,1
ROUGE-2,TEDTALK1972,TEXTRANK.TXT,0.01562,0.01111,0.01299,1
ROUGE-SU4,TEDTALK1972,TEXTRANK.TXT,0.08000,0.05517,0.06531,1
ROUGE-L,TEDTALK1975,TEXTRANK.TXT,0.13158,0.07246,0.09346,1
ROUGE-1,TEDTALK1975,TEXTRANK.TXT,0.31111,0.12281,0.17610,1
ROUGE-2,TEDTALK1975,TEXTRANK.TXT,0.02326,0.00893,0.01290,1
ROUGE-SU4,TEDTALK1975,TEXTRANK.TXT,0.08293,0.03091,0.04503,1
ROUGE-L,TEDTALK1974,TEXTRANK.TXT,0.08511,0.08333,0.08421,1
ROUGE-1,TEDTALK1974,TEXTRANK.TXT,0.21818,0.16000,0.18462,1
ROUGE-2,TEDTALK1974,TEXTRANK.TXT,0.01887,0.01351,0.01575,1
ROUGE-SU4,TEDTALK1974,TEXTRANK.TXT,0.07059,0.04932,0.05806,1
ROUGE-L,TEDTALK1977,TEXTRANK.TXT,0.18000,0.15254,0.16514,1
ROUGE-1,TEDTALK1977,TEXTRANK.TXT,0.22222,0.15238,0.18079,1
ROUGE-2,TEDTALK1977,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1977,TEXTRANK.TXT,0.06563,0.04941,0.05638,1
ROUGE-L,TEDTALK1976,TEXTRANK.TXT,0.10417,0.07463,0.08696,1
ROUGE-1,TEDTALK1976,TEXTRANK.TXT,0.14286,0.08163,0.10390,1
ROUGE-2,TEDTALK1976,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1976,TEXTRANK.TXT,0.03600,0.01915,0.02500,1
ROUGE-L,TEDTALK1979,TEXTRANK.TXT,0.10769,0.10145,0.10448,1
ROUGE-1,TEDTALK1979,TEXTRANK.TXT,0.20732,0.14286,0.16915,1
ROUGE-2,TEDTALK1979,TEXTRANK.TXT,0.01266,0.00877,0.01036,1
ROUGE-SU4,TEDTALK1979,TEXTRANK.TXT,0.05000,0.03486,0.04108,1
ROUGE-L,TEDTALK1978,TEXTRANK.TXT,0.14000,0.08861,0.10853,1
ROUGE-1,TEDTALK1978,TEXTRANK.TXT,0.25424,0.12000,0.16304,1
ROUGE-2,TEDTALK1978,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1978,TEXTRANK.TXT,0.08000,0.03636,0.05000,1
ROUGE-L,TEDTALK1980,TEXTRANK.TXT,0.02381,0.05882,0.03390,1
ROUGE-1,TEDTALK1980,TEXTRANK.TXT,0.05556,0.03226,0.04082,1
ROUGE-2,TEDTALK1980,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1980,TEXTRANK.TXT,0.01200,0.00845,0.00992,1
ROUGE-L,TEDTALK1960,TEXTRANK.TXT,0.17073,0.09459,0.12174,1
ROUGE-1,TEDTALK1960,TEXTRANK.TXT,0.34615,0.16216,0.22086,1
ROUGE-2,TEDTALK1960,TEXTRANK.TXT,0.02041,0.00909,0.01258,1
ROUGE-SU4,TEDTALK1960,TEXTRANK.TXT,0.13043,0.05505,0.07742,1
ROUGE-L,TEDTALK1962,TEXTRANK.TXT,0.13953,0.08108,0.10256,1
ROUGE-1,TEDTALK1962,TEXTRANK.TXT,0.34694,0.15596,0.21519,1
ROUGE-2,TEDTALK1962,TEXTRANK.TXT,0.02128,0.00935,0.01299,1
ROUGE-SU4,TEDTALK1962,TEXTRANK.TXT,0.08000,0.03429,0.04800,1
ROUGE-L,TEDTALK1961,TEXTRANK.TXT,0.14286,0.10938,0.12389,1
ROUGE-1,TEDTALK1961,TEXTRANK.TXT,0.16949,0.10753,0.13158,1
ROUGE-2,TEDTALK1961,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1961,TEXTRANK.TXT,0.04878,0.02637,0.03424,1
ROUGE-L,TEDTALK1964,TEXTRANK.TXT,0.17778,0.10000,0.12800,1
ROUGE-1,TEDTALK1964,TEXTRANK.TXT,0.26923,0.12069,0.16667,1
ROUGE-2,TEDTALK1964,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1964,TEXTRANK.TXT,0.06522,0.02778,0.03896,1
ROUGE-L,TEDTALK1963,TEXTRANK.TXT,0.13636,0.09524,0.11215,1
ROUGE-1,TEDTALK1963,TEXTRANK.TXT,0.18519,0.11364,0.14085,1
ROUGE-2,TEDTALK1963,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1963,TEXTRANK.TXT,0.05200,0.03171,0.03939,1
ROUGE-L,TEDTALK1966,TEXTRANK.TXT,0.16667,0.07042,0.09901,1
ROUGE-1,TEDTALK1966,TEXTRANK.TXT,0.16667,0.05495,0.08264,1
ROUGE-2,TEDTALK1966,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1966,TEXTRANK.TXT,0.05000,0.01647,0.02478,1
